Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
4577465,1.25,1.5,1,1.625,1.875,1.75,2.25,1.875,1.375,1.875,2.125,2.375,1.25,1.625,1.375,0.625
4578524,1.25,1.5,1,1.625,1.875,1.75,2.25,1.875,1.375,1.875,2.125,2.375,1.25,1.625,1.375,0.625
4579485,1.25,1.5,1,1.625,1.75,1.75,2.25,1.875,1.375,1.875,2.125,2.375,1.25,1.625,1.375,0.625
4580447,1.25,1.5,1,1.625,1.875,1.75,2.25,1.875,1.375,1.875,2.125,2.375,1.25,1.625,1.375,0.625
4581428,1.25,1.5,1,1.625,1.75,1.75,2.25,1.875,1.375,1.875,2.125,2.375,1.25,1.625,1.375,0.625
4582458,1.25,1.5,1,1.625,1.875,1.75,2.25,1.875,1.375,1.875,2.125,2.375,1.25,1.625,1.375,0.625
4583387,1.25,1.5,1,1.625,1.75,1.75,2.25,1.875,1.375,1.875,2.125,2.375,1.25,1.625,1.375,0.625
4584457,1.25,1.5,1,1.625,1.875,1.75,2.25,1.875,1.375,1.875,2.125,2.375,1.25,1.625,1.375,0.625
4585450,1.25,1.5,1,1.625,1.875,1.75,2.25,1.875,1.375,1.875,2.125,2.375,1.25,1.625,1.375,0.625
4586504,1.25,1.5,1,1.625,1.875,1.75,2.25,1.875,1.375,1.875,2.125,2.375,1.25,1.625,1.375,0.625
4587426,1.25,1.5,1,1.625,1.875,1.75,2.25,1.875,1.375,1.875,2.125,2.375,1.25,1.625,1.375,0.625
4588462,1.25,1.5,1,1.625,1.875,1.75,2.25,1.875,1.375,1.875,2.125,2.375,1.25,1.625,1.375,0.625
4589455,1.25,1.5,1,1.625,1.875,1.75,2.25,1.875,1.375,1.875,2.125,2.375,1.25,1.625,1.375,0.625
4590463,1.25,1.5,1,1.625,1.75,1.75,2.25,1.875,1.375,1.875,2.125,2.375,1.25,1.625,1.375,0.625
4591470,1.25,1.5,1,1.625,1.875,1.75,2.25,1.875,1.375,1.875,2.125,2.375,1.25,1.625,1.375,0.625
4592483,1.25,1.5,1,1.625,1.75,1.75,2.25,1.875,1.375,1.875,2.125,2.375,1.25,1.625,1.375,0.625
4593486,1.25,1.5,1,1.625,1.875,1.75,2.25,1.875,1.375,1.875,2.125,2.375,1.25,1.625,1.375,0.625
4594499,1.25,1.5,1,1.625,1.875,1.75,2.25,1.875,1.375,1.875,2.125,2.375,1.25,1.625,1.375,0.625
4595498,1.25,1.5,1,1.625,1.875,1.75,2.25,1.875,1.375,1.875,2.125,2.375,1.25,1.625,1.375,0.625
4596482,1.25,1.5,1,1.625,1.875,1.75,2.25,1.875,1.375,1.875,2.125,2.375,1.25,1.625,1.375,0.625
4597527,1.25,1.5,1,1.625,1.75,1.75,2.25,1.875,1.375,1.875,2.125,2.375,1.25,1.625,1.375,0.625
